Classi età;Italiane F;Italiani M;Straniere F;Stranieri M;DENOMAZI
0-4;10466;11133;1540;1711;LATINA
05-set;12414;13133;1585;1786;LATINA
ott-14;13526;14205;1357;1500;LATINA
15-19;13202;13819;1072;1242;LATINA
20-24;13275;15034;1149;2129;LATINA
25-29;14285;15742;1657;2482;LATINA
30-34;15892;16637;2483;3184;LATINA
35-39;16731;18233;2612;3749;LATINA
40-44;19231;20097;2639;3571;LATINA
45-49;22927;23286;2379;2882;LATINA
50-54;23437;22965;2106;2186;LATINA
55-59;22632;21877;1333;1152;LATINA
60-64;19289;18014;941;692;LATINA
65-69;16998;15910;466;326;LATINA
70-74;17217;15503;285;147;LATINA
75-79;12445;10543;112;64;LATINA
80-84;11085;8476;79;38;LATINA
85+;11334;6446;52;30;LATINA
