"DENOMINAZI","eta_range","mar_male_pop","mar_fem_pop","mar_hpt_pop","mar_nohpt_pop","mar_hf_pop","mar_nohf_pop","mar_00_29","mar_30_59","mar_60_100"
"FROSINONE","00_29",70390,64534,299,134625,32,134892,134924,0,0
"FROSINONE","30_59",103520,104357,25566,182311,648,207229,0,207877,0
"FROSINONE","60_100",69398,81867,90206,61059,7247,144018,0,0,151265
"LATINA","00_29",93916,85528,399,179045,44,179400,179444,0,0
"LATINA","30_59",139819,134402,27038,247183,995,273226,0,274221,0
"LATINA","60_100",76189,90303,94508,71984,8662,157830,0,0,166492
"RIETI","00_29",22768,19628,76,42320,0,42396,42396,0,0
"RIETI","30_59",35150,34335,7879,61606,254,69231,0,69485,0
"RIETI","60_100",24232,28249,29434,23047,3036,49445,0,0,52481
"ROMA_1","00_29",150927,141258,541,291644,79,292106,292185,0,0
"ROMA_1","30_59",237760,266680,35475,468965,1308,503132,0,504440,0
"ROMA_1","60_100",135696,191414,154723,172387,14564,312546,0,0,327110
"ROMA_2","00_29",199875,184502,802,383575,117,384260,384377,0,0
"ROMA_2","30_59",310946,319151,53516,576581,1789,628308,0,630097,0
"ROMA_2","60_100",162798,217529,205804,174523,18582,361745,0,0,380327
"ROMA_3","00_29",94806,88085,379,182512,52,182839,182891,0,0
"ROMA_3","30_59",144156,153844,24326,273674,820,297180,0,298000,0
"ROMA_3","60_100",75893,102541,92537,85897,8269,170165,0,0,178434
"ROMA_4","00_29",52312,48529,198,100643,18,100823,100841,0,0
"ROMA_4","30_59",80021,83691,14392,149320,467,163245,0,163712,0
"ROMA_4","60_100",43306,51417,49422,45301,4210,90513,0,0,94723
"ROMA_5","00_29",83989,77716,347,161358,29,161676,161705,0,0
"ROMA_5","30_59",125241,125087,25402,224926,796,249532,0,250328,0
"ROMA_5","60_100",63360,74861,78757,59464,7044,131177,0,0,138221
"ROMA_6","00_29",92374,86172,370,178176,44,178502,178546,0,0
"ROMA_6","30_59",143208,143050,26013,260245,962,285296,0,286258,0
"ROMA_6","60_100",74527,89110,88666,74971,8443,155194,0,0,163637
"VITERBO","00_29",45795,42111,136,87770,9,87897,87906,0,0
"VITERBO","30_59",73838,73832,12936,134734,420,147250,0,147670,0
"VITERBO","60_100",46837,56194,53298,49733,4986,98045,0,0,103031
