"DENOMINAZI","eta_range","agem_range","agef_range","hpt_fem_range","hpt_male_range","hf_fem_range","hf_male_range","totage_range","tothpt_range","tothf_range","age_ASL","hpt_ASL","hf_ASL","male_ASL","fem_ASL","nohptASL","sumhptASL","nohfASL","sumhfASL","genASL"
"FROSINONE","00_29",70390,64534,116,183,9,23,134924,299,32,494066,116071,7927,243308,250758,377995,494066,486139,494066,494066
"FROSINONE","30_59",103520,104357,11371,14195,173,475,207877,25566,648,494066,116071,7927,243308,250758,377995,494066,486139,494066,494066
"FROSINONE","60_100",69398,81867,49176,41030,3732,3515,151265,90206,7247,494066,116071,7927,243308,250758,377995,494066,486139,494066,494066
"LATINA","00_29",93916,85528,150,249,13,31,179444,399,44,620157,121945,9701,309924,310233,498212,620157,610456,620157,620157
"LATINA","30_59",139819,134402,11707,15331,330,665,274221,27038,995,620157,121945,9701,309924,310233,498212,620157,610456,620157,620157
"LATINA","60_100",76189,90303,51177,43331,4411,4251,166492,94508,8662,620157,121945,9701,309924,310233,498212,620157,610456,620157,620157
"RIETI","00_29",22768,19628,15,61,0,0,42396,76,0,164362,37389,3290,82150,82212,126973,164362,161072,164362,164362
"RIETI","30_59",35150,34335,3327,4552,76,178,69485,7879,254,164362,37389,3290,82150,82212,126973,164362,161072,164362,164362
"RIETI","60_100",24232,28249,15604,13830,1510,1526,52481,29434,3036,164362,37389,3290,82150,82212,126973,164362,161072,164362,164362
"ROMA 1","00_29",150927,141258,178,363,34,45,292185,541,79,1123735,190739,15951,524383,599352,932996,1123735,1107784,1123735,1123735
"ROMA 1","30_59",237760,266680,14825,20650,392,916,504440,35475,1308,1123735,190739,15951,524383,599352,932996,1123735,1107784,1123735,1123735
"ROMA 1","60_100",135696,191414,86607,68116,7453,7111,327110,154723,14564,1123735,190739,15951,524383,599352,932996,1123735,1107784,1123735,1123735
"ROMA 2","00_29",199875,184502,277,525,40,77,384377,802,117,1394801,260122,20488,673619,721182,1134679,1394801,1374313,1394801,1394801
"ROMA 2","30_59",310946,319151,22021,31495,566,1223,630097,53516,1789,1394801,260122,20488,673619,721182,1134679,1394801,1374313,1394801,1394801
"ROMA 2","60_100",162798,217529,114191,91613,9660,8922,380327,205804,18582,1394801,260122,20488,673619,721182,1134679,1394801,1374313,1394801,1394801
"ROMA 3","00_29",94806,88085,138,241,21,31,182891,379,52,659325,117242,9141,314855,344470,542083,659325,650184,659325,659325
"ROMA 3","30_59",144156,153844,10197,14129,215,605,298000,24326,820,659325,117242,9141,314855,344470,542083,659325,650184,659325,659325
"ROMA 3","60_100",75893,102541,51448,41089,4111,4158,178434,92537,8269,659325,117242,9141,314855,344470,542083,659325,650184,659325,659325
"ROMA 4","00_29",52312,48529,79,119,6,12,100841,198,18,359276,64012,4695,175639,183637,295264,359276,354581,359276,359276
"ROMA 4","30_59",80021,83691,6012,8380,127,340,163712,14392,467,359276,64012,4695,175639,183637,295264,359276,354581,359276,359276
"ROMA 4","60_100",43306,51417,26090,23332,2014,2196,94723,49422,4210,359276,64012,4695,175639,183637,295264,359276,354581,359276,359276
"ROMA 5","00_29",83989,77716,134,213,5,24,161705,347,29,550254,104506,7869,272590,277664,445748,550254,542385,550254,550254
"ROMA 5","30_59",125241,125087,10930,14472,238,558,250328,25402,796,550254,104506,7869,272590,277664,445748,550254,542385,550254,550254
"ROMA 5","60_100",63360,74861,42332,36425,3557,3487,138221,78757,7044,550254,104506,7869,272590,277664,445748,550254,542385,550254,550254
"ROMA 6","00_29",92374,86172,139,231,21,23,178546,370,44,628441,115049,9449,310109,318332,513392,628441,618992,628441,628441
"ROMA 6","30_59",143208,143050,10862,15151,282,680,286258,26013,962,628441,115049,9449,310109,318332,513392,628441,618992,628441,628441
"ROMA 6","60_100",74527,89110,47252,41414,4136,4307,163637,88666,8443,628441,115049,9449,310109,318332,513392,628441,618992,628441,628441
"VITERBO","00_29",45795,42111,45,91,4,5,87906,136,9,338607,66370,5415,166470,172137,272237,338607,333192,338607,338607
"VITERBO","30_59",73838,73832,5224,7712,122,298,147670,12936,420,338607,66370,5415,166470,172137,272237,338607,333192,338607,338607
"VITERBO","60_100",46837,56194,28291,25007,2396,2590,103031,53298,4986,338607,66370,5415,166470,172137,272237,338607,333192,338607,338607
