eta_range;man_r;fem_r;hpt_man_r;male_nohpt_r;hpt_fem_r;fem_nohpt_r;hf_male_r;male_nohf_r;hf_fem_r;fem_nohf_r;mar_ageASL_r
00_29;907152;838063;2276;904876;1271;836792;271;906881;153;837910;1745215
30_59;1393659;1438429;146067;1247592;106476;1331953;5938;1387721;2521;1435908;2832088
60_100;772236;983485;425187;347049;512168;471317;42063;730173;42980;940505;1755721
;3073047;3259977;573530;2499517;619915;2640062;48272;3024775;45654;3214323;
;;;1193445;5139579;;;93926;6239098;;;
;;;;;;;;;;;
AgeXhpt;;;;;;;;;;;
00_29;3547;;;;;;;;;;
30_59;252543;;;;;;;;;;
60_100;937355;;;;;;;;;;
;;;;;;;;;;;
AgeXhf;;;;;;;;;;;
00_29;424;;;;;;;;;;
30_59;8459;;;;;;;;;;
60_100;85043;;;;;;;;;;
