location;gender;age;hpt;hf;value;
FROSINONE;male;;;;243308;
FROSINONE;female;;;;250758;494066
FROSINONE;;30;;;134924;
FROSINONE;;3060;;;207877;
FROSINONE;;60100;;;151265;
FROSINONE;;;yes;;116071;
FROSINONE;;;no;;377995;
FROSINONE;;;;yes;7927;
FROSINONE;;;;no;486139;
FROSINONE;;30;yes;;299;494066
FROSINONE;;3060;yes;;25566;
FROSINONE;;60100;yes;;90206;
FROSINONE;;30;no;;134625;
FROSINONE;;3060;no;;182311;
FROSINONE;;60100;no;;61059;
FROSINONE;;30;;yes;32;
FROSINONE;;3060;;yes;648;
FROSINONE;;60100;;yes;7247;
FROSINONE;;30;;no;134892;
FROSINONE;;3060;;no;207229;
FROSINONE;;60100;;no;144018;
LATINA;male;;;;;
LATINA;female;;;;;
LATINA;;30;;;;
LATINA;;3060;;;;
LATINA;;60100;;;;
LATINA;;;yes;;;
LATINA;;;no;;;
LATINA;;;;yes;;
LATINA;;;;no;;
LATINA;;30;yes;;;
LATINA;;3060;yes;;;
LATINA;;60100;yes;;;
LATINA;;30;no;;;
LATINA;;3060;no;;;
LATINA;;60100;no;;;
LATINA;;30;;yes;;
LATINA;;3060;;yes;;
LATINA;;60100;;yes;;
LATINA;;30;;no;;
LATINA;;3060;;no;;
LATINA;;60100;;no;;
RIETI;male;;;;;
RIETI;female;;;;;
RIETI;;30;;;;
RIETI;;3060;;;;
RIETI;;60100;;;;
RIETI;;;yes;;;
RIETI;;;no;;;
RIETI;;;;yes;;
RIETI;;;;no;;
RIETI;;30;yes;;;
RIETI;;3060;yes;;;
RIETI;;60100;yes;;;
RIETI;;30;no;;;
RIETI;;3060;no;;;
RIETI;;60100;no;;;
RIETI;;30;;yes;;
RIETI;;3060;;yes;;
RIETI;;60100;;yes;;
RIETI;;30;;no;;
RIETI;;3060;;no;;
RIETI;;60100;;no;;
ROMA_1;male;;;;;
ROMA_1;female;;;;;
ROMA_1;;30;;;;
ROMA_1;;3060;;;;
ROMA_1;;60100;;;;
ROMA_1;;;yes;;;
ROMA_1;;;no;;;
ROMA_1;;;;yes;;
ROMA_1;;;;no;;
ROMA_1;;30;yes;;;
ROMA_1;;3060;yes;;;
ROMA_1;;60100;yes;;;
ROMA_1;;30;no;;;
ROMA_1;;3060;no;;;
ROMA_1;;60100;no;;;
ROMA_1;;30;;yes;;
ROMA_1;;3060;;yes;;
ROMA_1;;60100;;yes;;
ROMA_1;;30;;no;;
ROMA_1;;3060;;no;;
ROMA_1;;60100;;no;;
ROMA_2;male;;;;;
ROMA_2;female;;;;;
ROMA_2;;30;;;;
ROMA_2;;3060;;;;
ROMA_2;;60100;;;;
ROMA_2;;;yes;;;
ROMA_2;;;no;;;
ROMA_2;;;;yes;;
ROMA_2;;;;no;;
ROMA_2;;30;yes;;;
ROMA_2;;3060;yes;;;
ROMA_2;;60100;yes;;;
ROMA_2;;30;no;;;
ROMA_2;;3060;no;;;
ROMA_2;;60100;no;;;
ROMA_2;;30;;yes;;
ROMA_2;;3060;;yes;;
ROMA_2;;60100;;yes;;
ROMA_2;;30;;no;;
ROMA_2;;3060;;no;;
ROMA_2;;60100;;no;;
ROMA_3;male;;;;;
ROMA_3;female;;;;;
ROMA_3;;30;;;;
ROMA_3;;3060;;;;
ROMA_3;;60100;;;;
ROMA_3;;;yes;;;
ROMA_3;;;no;;;
ROMA_3;;;;yes;;
ROMA_3;;;;no;;
ROMA_3;;30;yes;;;
ROMA_3;;3060;yes;;;
ROMA_3;;60100;yes;;;
ROMA_3;;30;no;;;
ROMA_3;;3060;no;;;
ROMA_3;;60100;no;;;
ROMA_3;;30;;yes;;
ROMA_3;;3060;;yes;;
ROMA_3;;60100;;yes;;
ROMA_3;;30;;no;;
ROMA_3;;3060;;no;;
ROMA_3;;60100;;no;;
ROMA_4;male;;;;;
ROMA_4;female;;;;;
ROMA_4;;30;;;;
ROMA_4;;3060;;;;
ROMA_4;;60100;;;;
ROMA_4;;;yes;;;
ROMA_4;;;no;;;
ROMA_4;;;;yes;;
ROMA_4;;;;no;;
ROMA_4;;30;yes;;;
ROMA_4;;3060;yes;;;
ROMA_4;;60100;yes;;;
ROMA_4;;30;no;;;
ROMA_4;;3060;no;;;
ROMA_4;;60100;no;;;
ROMA_4;;30;;yes;;
ROMA_4;;3060;;yes;;
ROMA_4;;60100;;yes;;
ROMA_4;;30;;no;;
ROMA_4;;3060;;no;;
ROMA_4;;60100;;no;;
ROMA_5;male;;;;;
ROMA_5;female;;;;;
ROMA_5;;30;;;;
ROMA_5;;3060;;;;
ROMA_5;;60100;;;;
ROMA_5;;;yes;;;
ROMA_5;;;no;;;
ROMA_5;;;;yes;;
ROMA_5;;;;no;;
ROMA_5;;30;yes;;;
ROMA_5;;3060;yes;;;
ROMA_5;;60100;yes;;;
ROMA_5;;30;no;;;
ROMA_5;;3060;no;;;
ROMA_5;;60100;no;;;
ROMA_5;;30;;yes;;
ROMA_5;;3060;;yes;;
ROMA_5;;60100;;yes;;
ROMA_5;;30;;no;;
ROMA_5;;3060;;no;;
ROMA_5;;60100;;no;;
ROMA_6;male;;;;;
ROMA_6;female;;;;;
ROMA_6;;30;;;;
ROMA_6;;3060;;;;
ROMA_6;;60100;;;;
ROMA_6;;;yes;;;
ROMA_6;;;no;;;
ROMA_6;;;;yes;;
ROMA_6;;;;no;;
ROMA_6;;30;yes;;;
ROMA_6;;3060;yes;;;
ROMA_6;;60100;yes;;;
ROMA_6;;30;no;;;
ROMA_6;;3060;no;;;
ROMA_6;;60100;no;;;
ROMA_6;;30;;yes;;
ROMA_6;;3060;;yes;;
ROMA_6;;60100;;yes;;
ROMA_6;;30;;no;;
ROMA_6;;3060;;no;;
ROMA_6;;60100;;no;;
VITERBO;male;;;;;
VITERBO;female;;;;;
VITERBO;;30;;;;
VITERBO;;3060;;;;
VITERBO;;60100;;;;
VITERBO;;;yes;;;
VITERBO;;;no;;;
VITERBO;;;;yes;;
VITERBO;;;;no;;
VITERBO;;30;yes;;;
VITERBO;;3060;yes;;;
VITERBO;;60100;yes;;;
VITERBO;;30;no;;;
VITERBO;;3060;no;;;
VITERBO;;60100;no;;;
VITERBO;;30;;yes;;
VITERBO;;3060;;yes;;
VITERBO;;60100;;yes;;
VITERBO;;30;;no;;
VITERBO;;3060;;no;;
VITERBO;;60100;;no;;
